Model,MAE,Mean_Spearman_ρ
RF,0.1870353575169314,0.9025641025641025
GBRT,0.15971294204210046,0.9194139194139194
XGBoost,0.18230688077998997,0.797069597069597
LR,0.2560138487148428,0.964835164835165
MLP,0.15106691741058792,0.9296703296703297
SVR,0.1666361057678659,0.9428571428571428
Formula,0.1844,0.9177058957501473
